73100209	Disagree	73100208
645900107	Disagree	645900106
758000318	Disagree	758000317
303700188	Disagree	303700187
640800153	Disagree	640800152
356300144	Disagree	356300143
642100201	Disagree	642100200
640800322	Disagree	640800321
654800084	Disagree	654800071
73100395	Disagree	73100394
640800175	Disagree	640800174
356300030	Disagree	356300029
673700037	Disagree	673700033
525400009	Disagree	525400006
774800313	Disagree	774800311
371100053	Disagree	371100052
356300142	Disagree	356300141
645900125	Disagree	645900121
73100042	Disagree	73100041
452900112	Disagree	452900111
686100084	Disagree	686100083
356300027	Disagree	356300026
379100109	Disagree	379100107
327700277	Disagree	327700275
641600024	Disagree	641600002
130500287	Disagree	130500286
234400028	Disagree	234400027
300000355	Disagree	300000354
130500260	Disagree	130500259
242600018	Disagree	242600017
242600028	Disagree	242600027
300000168	Disagree	300000166
300000165	Disagree	300000164
89900045	Disagree	89900012
597800011	Disagree	597800010
356300008	Disagree	356300002
73100193	Disagree	73100192
327700159	Disagree	327700137
356300050	Disagree	356300049
379100182	Disagree	379100179
379100523	Disagree	379100522
774800346	Disagree	774800345
130500106	Disagree	130500105
642100044	Disagree	642100042
640800248	Disagree	640800247
528900087	Disagree	528900086
758000304	Disagree	758000300
327700187	Disagree	327700178
73100315	Disagree	73100314
640800326	Disagree	640800307
598300069	Disagree	598300068
208300042	Disagree	208300034
528900018	Disagree	528900016
587300025	Disagree	587300010
640800054	Disagree	640800051
758000108	Disagree	758000096
73100416	Disagree	73100415
640800266	Disagree	640800265
686100118	Disagree	686100115
528900084	Disagree	528900081
525400090	Disagree	525400079
642100193	Disagree	642100192
303700069	Disagree	303700066
645900052	Disagree	645900046
660500069	Disagree	660500068
642100079	Disagree	642100078
327700088	Disagree	327700079
303700189	Disagree	303700188
300000311	Disagree	300000309
673700053	Disagree	673700051
234400052	Disagree	234400050
20700032	Disagree	20700001
318700279	Disagree	318700278
654800117	Disagree	654800116
379100519	Disagree	379100517
640800273	Disagree	640800271
654800098	Disagree	654800092
774800067	Disagree	774800066
89900040	Disagree	89900039
758000099	Disagree	758000098
290200038	Disagree	290200036
503400114	Disagree	503400113
645900136	Disagree	645900114
303700135	Disagree	303700134
436000092	Disagree	436000091
327700076	Disagree	327700062
640800015	Disagree	640800014
552100022	Disagree	552100014
130500277	Disagree	130500276
255800064	Disagree	255800059
774800253	Disagree	774800251
774800199	Disagree	774800196
318700295	Disagree	318700287
503400007	Disagree	503400006
130500200	Disagree	130500198
379100346	Disagree	379100345
598300120	Disagree	598300111
303700215	Disagree	303700214
130500276	Disagree	130500275
100000024	Disagree	100000023
73100348	Disagree	73100347
537500035	Disagree	537500025
452900016	Disagree	452900014
20700066	Disagree	20700001
303700249	Disagree	303700236
645900127	Disagree	645900126
208300035	Disagree	208300026
552100104	Disagree	552100102
673700055	Disagree	673700054
73100003	Disagree	73100001
20000056	Disagree	20000055
598300133	Disagree	598300132
318700260	Disagree	318700257
379100166	Disagree	379100165
303700149	Disagree	303700147
318700367	Disagree	318700366
673700031	Disagree	673700028
645900088	Disagree	645900086
503400041	Disagree	503400040
20000041	Disagree	20000040
774800145	Disagree	774800140
552100078	Disagree	552100077
452900093	Disagree	452900090
73100066	Disagree	73100065
453900018	Disagree	453900016
536500171	Disagree	536500170
525200021	Disagree	525200020
303700131	Disagree	303700123
598300035	Disagree	598300034
73100118	Disagree	73100115
379100528	Disagree	379100516
660500017	Disagree	660500014
598300139	Disagree	598300130
379100153	Disagree	379100151
379100132	Disagree	379100130
379100537	Disagree	379100533
373000039	Disagree	373000038
73100429	Disagree	73100428
379100389	Disagree	379100388
774800082	Disagree	774800081
758000303	Disagree	758000299
654800077	Disagree	654800073
686100099	Disagree	686100093
552100110	Disagree	552100109
303700133	Disagree	303700068
379100533	Disagree	379100530
686100159	Disagree	686100158
774800002	Disagree	774800001
303700058	Disagree	303700057
327700391	Disagree	327700387
20700077	Disagree	20700001
758000002	Disagree	758000001
327700016	Disagree	327700014
318700327	Disagree	318700300
73100435	Disagree	73100434
379100508	Disagree	379100496
686100111	Disagree	686100107
303700233	Disagree	303700232
379100365	Disagree	379100361
774800431	Disagree	774800423
73100369	Disagree	73100366
89900063	Disagree	89900057
379100459	Disagree	379100452
774800193	Disagree	774800192
640800192	Disagree	640800191
73100460	Disagree	73100459
130500025	Disagree	130500024
327700393	Disagree	327700391
371100054	Disagree	371100051
452900064	Disagree	452900063
645900119	Disagree	645900118
327700270	Disagree	327700268
318700037	Disagree	318700036
525400010	Disagree	525400009
73100231	Disagree	73100230
238000012	Disagree	238000007
774800104	Disagree	774800098
20000025	Disagree	20000024
758000151	Disagree	758000150
327700020	Disagree	327700019
300000228	Disagree	300000227
379100333	Disagree	379100330
758000327	Disagree	758000326
503400063	Disagree	503400062
758000195	Disagree	758000194
599300048	Disagree	599300047
300000306	Disagree	300000305
640800086	Disagree	640800085
318700258	Disagree	318700257
451400020	Disagree	451400019
453900053	Disagree	453900046
379100028	Disagree	379100027
599300072	Disagree	599300071
300000062	Disagree	300000061
379100506	Disagree	379100501
758000144	Disagree	758000143
642100043	Disagree	642100041
686100008	Disagree	686100007
303700191	Disagree	303700190
379100056	Disagree	379100055
642100137	Disagree	642100123
640800359	Disagree	640800358
379100326	Disagree	379100324
774800116	Disagree	774800115
327700182	Disagree	327700180
642100209	Disagree	642100205
673700057	Disagree	673700056
598300038	Disagree	598300035
642100021	Disagree	642100018
100000082	Disagree	100000081
379100327	Disagree	379100325
525400034	Disagree	525400033
300000266	Disagree	300000254
645900062	Disagree	645900060
640800155	Disagree	640800154
318700149	Disagree	318700148
255800050	Disagree	255800047
645900041	Disagree	645900040
774800378	Disagree	774800377
686100107	Disagree	686100105
640800062	Disagree	640800061
552100101	Disagree	552100090
73100375	Disagree	73100372
758000062	Disagree	758000059
660500019	Disagree	660500013
536500137	Disagree	536500136
599300026	Disagree	599300022
303700242	Disagree	303700241
774800153	Disagree	774800152
654800046	Disagree	654800043
73100309	Disagree	73100308
758000272	Disagree	758000271
379100452	Disagree	379100451
73100170	Disagree	73100159
774800249	Disagree	774800248
640800296	Disagree	640800293
318700231	Disagree	318700230
641600038	Disagree	641600037
379100147	Disagree	379100146
73100235	Disagree	73100234
100000088	Disagree	100000085
290200097	Disagree	290200096
642100190	Disagree	642100189
130500236	Disagree	130500009
300000125	Disagree	300000124
640800057	Disagree	640800056
645900063	Disagree	645900061
46500020	Disagree	46500013
758000071	Disagree	758000070
598300115	Disagree	598300113
774800478	Disagree	774800477
303700025	Disagree	303700018
598300051	Disagree	598300049
660500042	Disagree	660500040
379100237	Disagree	379100233
